window_start,window_stop,shared_bp,sum_dxy,n_dxy_sites,n_coin
70400000,70500000,56439,215.09384805600348,7271,438
70500000,70600000,44786,206.59301429265543,5813,318
70600000,70700000,56311,232.13462738925955,6602,433
70700000,70800000,54005,224.07910740724765,7014,434
70800000,70900000,54284,247.02219754078396,7454,604
70900000,71000000,54379,216.79746766176686,6877,461
71000000,71100000,55667,251.27789901731012,6839,575
71100000,71200000,51563,201.09666576620293,5575,451
71200000,71300000,55863,217.17645370562968,6319,540
71300000,71400000,56447,216.92766959308938,6459,428
71400000,71500000,46609,248.9723665462734,5501,384
71500000,71600000,40055,215.18791313706242,4394,513
71600000,71700000,31533,215.5963203127576,3857,361
71700000,71800000,45268,248.43830108716793,6506,565
71800000,71900000,43896,230.81520226147768,6881,712
71900000,72000000,42259,323.66400283177427,6474,479
72000000,72100000,44258,155.19442441750653,6329,525
72100000,72200000,45972,271.8127165569058,7614,516
72200000,72300000,44051,244.18859730096665,7413,645
72300000,72400000,19435,64.74920919243232,1923,303
72400000,72500000,43660,214.4068407857776,6634,493
72500000,72600000,50114,303.08097908928903,9327,467
72600000,72700000,44026,350.36952250202376,8582,516
72700000,72800000,35041,272.1679295255017,5858,644
72800000,72900000,48616,281.32176935320604,8936,561
72900000,73000000,49499,321.16548691812204,9141,462
73000000,73100000,57966,381.26306506924084,10983,712
73100000,73200000,43771,270.5477601904058,8501,505
73200000,73300000,53791,331.2030371589062,8862,636
73300000,73400000,47004,305.26938657078426,8007,332
73400000,73500000,40045,253.36808058106544,7095,513
73500000,73600000,48926,333.5876423158188,9134,756
73600000,73700000,31354,194.38518509925052,5362,422
73700000,73800000,50296,289.359664258096,9683,315
73800000,73900000,43827,251.28210992872846,7716,381
73900000,74000000,55833,406.1656116883569,10272,589
74000000,74100000,53886,365.3863847228022,10689,521
74100000,74200000,53378,329.9716159139498,9300,683
74200000,74300000,58656,299.7297930698769,10077,619
74300000,74400000,64058,378.11534969967033,11418,577
74400000,74500000,56191,402.6229101154604,11056,555
74500000,74600000,62539,413.3976322194503,11661,530
74600000,74700000,65820,360.7864992804898,11398,545
74700000,74800000,64064,344.83309450263914,11206,618
74800000,74900000,58253,285.6111420308807,9069,536
74900000,75000000,40039,249.80396403958002,7609,468
75000000,75100000,44601,257.57967142839334,8175,454
75100000,75200000,51203,325.5707273957305,10430,516
75200000,75300000,53237,375.86802948793775,10595,658
75300000,75400000,56016,347.1047517470288,11291,603
75400000,75500000,56592,368.5908906310433,10416,593
75500000,75600000,45107,288.74160671565915,9189,644
75600000,75700000,46930,309.5326773281122,8947,634
75700000,75800000,47754,303.53636298528727,8460,547
75800000,75900000,53505,408.1180305854068,9876,783
75900000,76000000,54710,378.7185193510886,10070,675
76000000,76100000,44821,247.25403051597095,7432,343
76100000,76200000,51330,292.3162815767573,9241,711
76200000,76300000,49608,315.9784213432504,8795,622
76300000,76400000,46629,243.57079243947373,7098,500
76400000,76500000,47218,281.2474572406645,8214,572
76500000,76600000,52721,310.44261584684864,8876,533
76600000,76700000,41771,248.9546177382217,7032,433
76700000,76800000,43865,215.27386744965042,7123,430
76800000,76900000,50693,247.13338355667656,8090,458
76900000,77000000,37309,196.83733226874028,5539,387
77000000,77100000,44056,212.14882309133827,6372,476
77100000,77200000,42263,187.77302025339304,6370,436
77200000,77300000,40061,211.53281527736544,5649,528
77300000,77400000,37766,174.22457578539615,4969,358
77400000,77500000,39117,167.6208747197088,4445,396
77500000,77600000,32776,149.0558983168812,4317,260
77600000,77700000,32340,101.3888950865221,3669,299
77700000,77800000,35963,186.0983233015213,4203,321
77800000,77900000,47120,245.93934147442633,5139,428
77900000,78000000,54951,160.1172005260014,4661,330
78000000,78100000,48406,140.76276698600122,3524,336
78100000,78200000,35485,89.8911356467579,2464,241
78200000,78300000,50055,159.4605535664159,3524,88
78300000,78400000,41955,150.48246013997414,3484,205
78400000,78500000,53000,113.90412527144508,3880,336
78500000,78600000,55660,94.43337665993022,3914,397
78600000,78700000,34087,82.46726097130158,2986,192
78700000,78800000,44574,107.88223195345199,3369,380
78800000,78900000,37146,155.41250876255071,3633,405
78900000,79000000,39922,178.05350538407947,5141,388
79000000,79100000,47391,244.21591383038322,5788,504
79100000,79200000,50498,239.93374130807206,6848,649
79200000,79300000,50923,309.4547540256244,7365,683
79300000,79400000,5731,21.279370240852586,735,53
79500000,79600000,741,0.30517244595102966,15,83
79600000,79700000,20536,52.3182366279143,1640,496
79700000,79800000,39197,134.31627331886557,5140,606
79800000,79900000,42708,134.69480998712243,6028,605
79900000,80000000,35580,132.4633868117162,5276,617
