q,prot,pid,len,e,bit,desc,e2,s0,e0,nearfix,maxdp,class,seqkey,orf_aa,bp,orf_frac,orf_null,orf_ratio,gc
2:66689788-66690475,Euprymna|mrna-275634,55.2,58,1.18e-12,64.7,,,66689788,66690475,1,0.8042430281639099,no_pfam_domain,2:66689788-66690475,116,687,0.5065502183406113,85.0,1.3647058823529412,0.43231441048034935
2:66785252-66785876,Architeuthis|pred2_15090.1,42.6,94,3.12e-15,72.0,,,66785252,66785876,1,0.8521469831466675,no_pfam_domain,2:66785252-66785876,130,624,0.625,69.0,1.8840579710144927,0.3701923076923077
2:66787023-66788053,Architeuthis|pred2_15090.1,40.4,99,2.95e-14,71.6,,,66787023,66788053,0,0.5394719839096069,no_pfam_domain,2:66787023-66788053,139,1030,0.4048543689320388,65.0,2.1384615384615384,0.36893203883495146
2:67219944-67220590,Architeuthis|pred2_15342.1,39.3,84,3.55e-08,54.3,,,67219944,67220590,13,0.8790080547332764,no_pfam_domain,2:67219944-67220590,86,646,0.3993808049535604,65.0,1.323076923076923,0.38390092879256965
2:67457030-67457768,Architeuthis|pred2_38481.1,67.4,43,1.7e-11,63.2,Uncharacterized protein K02A2.6,3.35e-08,67457030,67457768,1,0.884706974029541,TE_derived,2:67457030-67457768,91,738,0.3699186991869919,57.0,1.5964912280701755,0.35907859078590787
2:67468934-67469718,Architeuthis|pred2_31452.1,42.6,141,1.18e-19,84.7,,,67468934,67469718,0,0.7376269698143005,no_pfam_domain,2:67468934-67469718,131,784,0.5012755102040817,101.0,1.297029702970297,0.41964285714285715
2:68688236-68691682,Architeuthis|pred2_16243.1,34.4,459,7.59e-45,177.0,,,68688236,68691682,0,0.5456290245056152,no_pfam_domain,2:68688236-68691682,139,3446,0.1210098665118978,104.0,1.3365384615384615,0.3847939640162507
2:68829923-68832850,Octopus|transcript-206384,46.4,69,2.09e-11,65.9,,,68829923,68832850,5,0.8854829668998718,no_pfam_domain,2:68829923-68832850,288,2927,0.2951827810044414,136.0,2.1176470588235294,0.3870857533310557
2:68837485-68838906,Architeuthis|pred2_12739.1,44.8,116,3.01e-20,96.7,,,68837485,68838906,0,0.5288110375404358,TE_pfam,2:68837485-68838906,133,1421,0.2807881773399014,92.0,1.4456521739130435,0.43771991555242784
2:68840150-68841129,Architeuthis|pred2_12181.1,46.0,202,2.29e-51,176.0,,,68840150,68841129,0,0.6390019655227661,no_pfam_domain,2:68840150-68841129,143,979,0.4382022471910112,90.0,1.5888888888888888,0.38508682328907046
2:68994267-68996358,Architeuthis|pred2_15244.1,63.5,479,4.63e-205,587.0,Uncharacterized protein L446,1.36e-15,68994267,68996358,1,0.9342220425605774,gene_candidate,2:68994267-68996358,502,2091,0.7202295552367288,90.0,5.5777777777777775,0.41559062649450024
2:69006113-69007934,Architeuthis|pred2_15244.1,68.7,479,3.1399999999999996e-230,647.0,Uncharacterized protein L446,1.36e-15,69006113,69007934,2,0.9316790103912354,gene_candidate,2:69006113-69007934,490,1821,0.8072487644151565,75.0,6.533333333333333,0.4184514003294893
2:69925736-69927362,Sepia|g5369.t1,67.3,49,1.83e-13,67.8,Tigger transposable element-derived protein 1,1.02e-15,69925736,69927362,0,0.5657550096511841,TE_derived,2:69925736-69927362,129,1626,0.2380073800738007,76.0,1.6973684210526316,0.35424354243542433
2:69953018-69953611,Architeuthis|pred2_02322.1,29.9,77,1.49e-06,47.0,,,69953018,69953611,2,0.9147839546203612,no_pfam_domain,2:69953018-69953611,79,593,0.3996627318718381,59.0,1.3389830508474576,0.35413153456998314
2:70350336-70351672,Doryteuthis|PAC4GC:38644998,45.6,114,2.3700000000000003e-27,112.0,Craniofacial development protein 2,7.94e-24,70350336,70351672,2,0.8839049935340881,TE_derived,2:70350336-70351672,165,1336,0.3705089820359281,103.0,1.6019417475728155,0.45434131736526945
2:70617223-70618737,Sepioteuthis|mrna-91943,39.0,146,1.23e-17,88.6,Retrovirus-related Pol polyprotein from transposon 17.6,8.37e-62,70617223,70618737,1,0.8216660022735596,TE_derived,2:70617223-70618737,136,1514,0.2694848084544253,88.0,1.5454545454545454,0.36393659180977544
2:70630667-70632239,Sepioteuthis|mrna-94037,37.0,100,8.75e-09,60.8,,,70630667,70632239,2,0.8033400177955627,domain_nonTE,2:70630667-70632239,96,1572,0.183206106870229,69.0,1.391304347826087,0.3059796437659033
2:70687298-70687882,Sepia|g1992.t1,78.9,128,2.06e-66,204.0,Transposon Ty3-I Gag-Pol polyprotein,2.25e-31,70687298,70687882,11,0.8831019401550293,TE_derived,2:70687298-70687882,149,584,0.7654109589041096,64.0,2.328125,0.3818493150684932
2:70769766-70770442,Sepioteuthis|mrna-675982,61.5,26,5.97e-07,47.8,,,70769766,70770442,1,0.812809944152832,no_pfam_domain,2:70769766-70770442,75,676,0.3328402366863905,63.0,1.1904761904761905,0.34615384615384615
2:71633280-71633889,Sthenoteuthis|ENA|GHKH01020395|GHKH01020395.1.p1,74.6,67,1.9e-30,110.0,,,71633280,71633889,1,0.8136590123176575,no_pfam_domain,2:71633280-71633889,101,609,0.4975369458128079,44.0,2.2954545454545454,0.3218390804597701
2:71634799-71635349,Sthenoteuthis|ENA|GHKH01020395|GHKH01020395.1.p1,82.9,35,1.69e-12,63.2,,,71634799,71635349,0,0.4703670144081116,no_pfam_domain,2:71634799-71635349,63,550,0.3436363636363636,59.0,1.0677966101694916,0.39090909090909093
2:72361340-72362984,Architeuthis|pred2_14787.1,55.6,45,3.38e-07,51.2,,,72361340,72362984,0,0.2635979652404785,no_pfam_domain,2:72361340-72362984,371,1644,0.677007299270073,115.0,3.226086956521739,0.41545012165450124
2:72375087-72376838,Architeuthis|pred2_14783.1,50.9,55,8.47e-06,51.2,,,72375087,72376838,0,0.3099660277366638,no_pfam_domain,2:72375087-72376838,270,1751,0.462592804111936,83.0,3.253012048192771,0.40605368360936606
2:72387562-72389785,Architeuthis|pred2_14787.1,61.7,47,3.03e-06,48.9,,,72387562,72389785,0,,no_pfam_domain,2:72387562-72389785,210,2223,0.2834008097165992,83.0,2.5301204819277108,0.3571749887539361
2:72400909-72402648,Architeuthis|pred2_14787.1,61.7,47,2.32e-06,48.9,,,72400909,72402648,0,0.483111023902893,no_pfam_domain,2:72400909-72402648,250,1739,0.4312823461759631,86.0,2.9069767441860463,0.40023001725129387
2:72410696-72412038,Architeuthis|pred2_14783.1,58.5,41,3.16e-06,52.0,,,72410696,72412038,0,0.33992600440979,no_pfam_domain,2:72410696-72412038,220,1342,0.4918032786885246,78.0,2.8205128205128207,0.4143070044709389
2:72441838-72442886,Architeuthis|pred2_17798.1,36.6,82,7.92e-07,49.7,,,72441838,72442886,0,0.5885519981384277,no_pfam_domain,2:72441838-72442886,77,1048,0.2204198473282442,64.0,1.203125,0.35782442748091603
2:72659000-72660548,Architeuthis|pred2_46960.1,63.6,55,2.96e-13,74.3,,,72659000,72660548,1,0.8510370254516602,no_pfam_domain,2:72659000-72660548,107,1548,0.2073643410852713,67.0,1.5970149253731343,0.36757105943152457
2:72694823-72698839,Architeuthis|pred2_14783.1,47.1,85,6.04e-08,59.7,,,72694823,72698839,0,0.6476149559020996,no_pfam_domain,2:72694823-72698839,313,4016,0.2338147410358565,91.0,3.4395604395604398,0.3794820717131474
2:72707549-72711166,Architeuthis|pred2_14783.1,48.2,85,1.77e-08,61.2,,,72707549,72711166,0,0.6582809686660767,no_pfam_domain,2:72707549-72711166,313,3617,0.2596074094553497,87.0,3.5977011494252875,0.38180812828310756
2:72725207-72729207,Architeuthis|pred2_14783.1,48.2,85,2.01e-08,61.2,,,72725207,72729207,0,0.6866099834442139,no_pfam_domain,2:72725207-72729207,313,4000,0.23475,90.0,3.477777777777778,0.3795
2:72737894-72739618,Architeuthis|pred2_14783.1,48.2,85,6.18e-09,61.2,,,72737894,72739618,0,0.561348021030426,no_pfam_domain,2:72737894-72739618,313,1724,0.5446635730858469,86.0,3.63953488372093,0.4274941995359629
2:72753933-72757425,Architeuthis|pred2_14783.1,47.5,80,2.64e-07,57.4,,,72753933,72757425,12,0.9476270079612732,no_pfam_domain,2:72753933-72757425,339,3492,0.2912371134020619,87.0,3.896551724137931,0.37485681557846506
2:72894892-72895471,Octopus|transcript-147410,41.7,60,1.28e-06,50.1,Pogo transposable element with KRAB domain,2.59e-76,72894892,72895471,3,0.8129259943962097,TE_derived,2:72894892-72895471,102,579,0.5284974093264249,67.0,1.5223880597014925,0.3799654576856649
2:72928331-72929180,Euprymna|mrna-31676,30.2,139,2.12e-10,61.6,,,72928331,72929180,1,0.8775079846382141,TE_pfam,2:72928331-72929180,100,849,0.3533568904593639,83.0,1.2048192771084338,0.46054181389870436
2:72964882-72966218,Architeuthis|pred2_19775.1,32.9,73,2.25e-06,50.4,Zinc finger MYM-type protein 6,3.74e-16,72964882,72966218,0,0.7205770015716553,TE_derived,2:72964882-72966218,118,1336,0.2649700598802395,72.0,1.6388888888888888,0.3690119760479042
2:73004083-73005261,Architeuthis|pred2_40445.1,47.3,110,2.25e-14,77.0,,,73004083,73005261,0,0.685368001461029,domain_nonTE,2:73004083-73005261,152,1178,0.3870967741935484,74.0,2.054054054054054,0.4235993208828523
2:73100694-73101543,Euprymna|mrna-89585,33.6,110,5.84e-09,57.8,,,73100694,73101543,4,0.8884150385856628,no_pfam_domain,2:73100694-73101543,97,849,0.342756183745583,92.0,1.0543478260869565,0.41813898704358066
2:73388631-73389234,Euprymna|mrna-10914,35.2,71,1.35e-07,50.8,,,73388631,73389234,5,0.9766249656677246,no_pfam_domain,2:73388631-73389234,78,603,0.3880597014925373,80.0,0.975,0.439469320066335
2:73605469-73605981,Octopus|transcript-254704,40.3,67,1.79e-07,49.7,,,73605469,73605981,0,0.7563250064849854,TE_pfam,2:73605469-73605981,86,512,0.50390625,63.0,1.3650793650793651,0.38671875
2:74088734-74089488,Euprymna|mrna-389956,43.3,60,1.03e-06,49.7,Secreted RxLR effector protein 78,1.48e-09,74088734,74089488,0,0.6916390061378479,TE_derived,2:74088734-74089488,166,754,0.6604774535809018,64.0,2.59375,0.3859416445623342
2:75230525-75233458,Doryteuthis|PAC4GC:38594562,47.9,48,1.7e-07,55.8,Craniofacial development protein 2,1.1799999999999999e-25,75230525,75233458,0,0.789014995098114,TE_derived,2:75230525-75233458,90,2933,0.0920559154449369,77.0,1.1688311688311688,0.37777020115922266
2:75241305-75242593,Architeuthis|pred2_28424.1,52.9,87,3.52e-10,62.8,,,75241305,75242593,0,0.3477450013160705,no_pfam_domain,2:75241305-75242593,130,1288,0.3027950310559006,76.0,1.7105263157894737,0.3501552795031056
2:75253890-75254415,Sepia|g79.t1,65.5,29,2.16e-06,46.6,,,75253890,75254415,0,0.7243779897689819,no_pfam_domain,2:75253890-75254415,51,525,0.2914285714285714,68.0,0.75,0.38857142857142857
2:75521290-75522153,Architeuthis|pred2_21430.1,50.0,44,1.26e-08,54.3,,,75521290,75522153,0,0.7427660226821899,no_pfam_domain,2:75521290-75522153,67,863,0.2329084588644264,75.0,0.8933333333333333,0.32329084588644263
2:75536568-75537077,Architeuthis|pred2_21745.1,62.9,35,2.52e-07,48.9,,,75536568,75537077,7,0.936653971672058,no_pfam_domain,2:75536568-75537077,81,509,0.4774066797642436,59.0,1.3728813559322033,0.32612966601178783
2:75677708-75678924,Architeuthis|pred2_47380.1,60.5,43,1.59e-08,53.1,,,75677708,75678924,0,0.5179330110549927,no_pfam_domain,2:75677708-75678924,64,1216,0.1578947368421052,64.0,1.0,0.33305921052631576
2:75873089-75878660,Euprymna|mrna-273655,43.6,55,8.94e-07,52.4,,,75873089,75878660,40,0.9680129885673524,no_pfam_domain,2:75873089-75878660,127,5571,0.0683898761443188,93.0,1.3655913978494623,0.35720696463830554
2:75903026-75904698,Octopus|transcript-135702,72.9,48,3.49e-12,71.2,Beta-lactamase domain-containing protein 2,1.05e-48,75903026,75904698,3,0.871304988861084,gene_candidate,2:75903026-75904698,127,1672,0.2278708133971292,76.0,1.6710526315789473,0.41626794258373206
2:76086773-76087542,Sepia|g7219.t1,53.1,98,2.79e-21,88.6,,,76086773,76087542,0,0.5130710005760193,no_pfam_domain,2:76086773-76087542,97,769,0.3784135240572172,77.0,1.2597402597402598,0.4057217165149545
2:76397077-76398233,Sepioteuthis|mrna-135755,47.8,67,1.76e-12,66.2,,,76397077,76398233,0,0.5601460337638855,no_pfam_domain,2:76397077-76398233,88,1156,0.2283737024221453,111.0,0.7927927927927928,0.3546712802768166
2:76563412-76564319,Doryteuthis|PAC4GC:38594121,63.6,88,2.4500000000000002e-29,111.0,Histone-lysine N-methyltransferase SETMAR,2.79e-07,76563412,76564319,8,0.8962599635124207,TE_derived,2:76563412-76564319,97,907,0.320837927232635,95.0,1.0210526315789474,0.42998897464167585
2:76594106-76595708,Doryteuthis|PAC4GC:38631303,58.4,101,2.4999999999999997e-34,128.0,,,76594106,76595708,0,0.4800580143928528,no_pfam_domain,2:76594106-76595708,103,1602,0.1928838951310861,91.0,1.1318681318681318,0.4076154806491885
2:76799444-76800878,Sepia|g4271.t1,42.7,75,4.61e-07,54.3,Transposon Ty3-G Gag-Pol polyprotein,4.15e-24,76799444,76800878,0,0.7920039892196655,TE_derived,2:76799444-76800878,137,1434,0.2866108786610878,80.0,1.7125,0.3737796373779637
2:77204110-77205001,Architeuthis|pred2_24523.1,48.6,70,2.71e-11,65.9,,,77204110,77205001,2,0.8704620003700256,no_pfam_domain,2:77204110-77205001,106,891,0.3569023569023569,90.0,1.1777777777777778,0.4399551066217733
2:77224179-77225274,Euprymna|mrna-264994,41.3,63,4.72e-09,56.2,,,77224179,77225274,6,0.9411009550094604,TE_pfam,2:77224179-77225274,90,1095,0.2465753424657534,69.0,1.3043478260869565,0.3315068493150685
2:77364700-77365438,Euprymna|mrna-427397,32.0,125,4.32e-06,48.5,,,77364700,77365438,0,0.2327719926834106,probable_TE_pfam,2:77364700-77365438,134,738,0.5447154471544715,88.0,1.5227272727272727,0.4065040650406504
2:77451583-77452546,Doryteuthis|PAC4GC:38658961,41.8,91,3.03e-17,78.2,,,77451583,77452546,2,0.8841480016708374,no_pfam_domain,2:77451583-77452546,125,963,0.3894080996884735,77.0,1.6233766233766234,0.3613707165109034
2:78068347-78069011,Architeuthis|pred2_29990.1,86.7,75,7.419999999999999e-34,129.0,ATPase WRNIP1,1.49e-156,78068347,78069011,0,0.4299840033054352,gene_candidate,2:78068347-78069011,109,664,0.4924698795180723,82.0,1.329268292682927,0.34036144578313254
2:78076642-78077380,Architeuthis|pred2_29990.1,95.5,66,5.190000000000001e-32,125.0,ATPase WRNIP1,1.49e-156,78076642,78077380,1,0.8481369614601135,gene_candidate,2:78076642-78077380,96,738,0.3902439024390244,57.0,1.6842105263157894,0.28184281842818426
2:78080997-78083099,Architeuthis|pred2_29990.1,56.4,234,1.2899999999999999e-61,218.0,ATPase WRNIP1,1.49e-156,78080997,78083099,1,0.8736749887466431,gene_candidate,2:78080997-78083099,247,2102,0.3525214081826832,82.0,3.0121951219512195,0.3363463368220742
2:78589851-78595796,Doryteuthis|PAC4GC:38637312,97.2,71,8.329999999999999e-40,147.0,,,78589851,78595796,0,0.5386170148849487,no_pfam_domain,2:78589851-78595796,93,5945,0.0469301934398654,90.0,1.0333333333333334,0.2995794785534062
2:78640998-78641682,Sepia|g14829.t2,60.8,125,7.73e-33,125.0,Bile acid-CoA:amino acid N-acyltransferase,2.5899999999999997e-74,78640998,78641682,0,0.631227970123291,gene_candidate,2:78640998-78641682,124,684,0.543859649122807,72.0,1.7222222222222223,0.4064327485380117
2:78658042-78658628,Architeuthis|pred2_32205.1,57.1,56,4.15e-14,70.1,,,78658042,78658628,0,0.7542129755020142,no_pfam_domain,2:78658042-78658628,75,586,0.3839590443686007,59.0,1.271186440677966,0.3361774744027304
2:78910873-78911635,Sepia|g13637.t1,44.1,59,3.3e-08,54.7,Heme-binding protein 2,5.15e-16,78910873,78911635,0,0.4283529818058014,gene_candidate,2:78910873-78911635,79,762,0.3110236220472441,76.0,1.0394736842105263,0.31758530183727035
2:78994101-78996189,Architeuthis|pred2_29780.1,74.3,377,5.99e-180,518.0,,,78994101,78996189,0,0.4130849838256836,no_pfam_domain,2:78994101-78996189,397,2088,0.5704022988505747,90.0,4.411111111111111,0.41044061302681994
2:79053670-79054453,Architeuthis|pred2_29777.1,72.7,110,1.14e-38,133.0,,,79053670,79054453,1,0.8665069937705994,no_pfam_domain,2:79053670-79054453,123,783,0.4712643678160919,74.0,1.662162162162162,0.4163473818646232
2:79069615-79070165,Architeuthis|pred2_29776.1,100.0,53,8.53e-28,108.0,Major facilitator superfamily domain-containing protein 4A,3.03e-33,79069615,79070165,2,0.8782880306243896,gene_candidate,2:79069615-79070165,74,550,0.4036363636363636,70.0,1.0571428571428572,0.3618181818181818
2:79072629-79073130,Doryteuthis|PAC4GC:38564463,32.4,102,2.42e-09,57.0,,,79072629,79073130,0,0.5909730195999146,no_pfam_domain,2:79072629-79073130,83,501,0.497005988023952,59.0,1.4067796610169492,0.37325349301397204
2:79102167-79102862,Euprymna|mrna-18819,87.0,77,9.999999999999999e-33,125.0,Major facilitator superfamily domain-containing protein 4A,2.73e-44,79102167,79102862,0,0.5743850469589233,gene_candidate,2:79102167-79102862,151,695,0.6517985611510791,58.0,2.603448275862069,0.37985611510791367
2:79384662-79385305,Sepia|g18280.t1,65.5,29,1.47e-06,50.1,Uncharacterized protein K02A2.6,5.7e-29,79384662,79385305,0,0.4734769761562347,TE_derived,2:79384662-79385305,89,643,0.4152410575427683,71.0,1.2535211267605635,0.3856920684292379
2:79418991-79420579,Architeuthis|pred2_44271.1,31.8,179,1.28e-08,60.5,,,79418991,79420579,2,0.9386209845542908,domain_nonTE,2:79418991-79420579,380,1588,0.7178841309823678,101.0,3.762376237623762,0.41309823677581864
2:79452194-79452954,Architeuthis|pred2_46950.1,50.5,95,5.7699999999999995e-24,102.0,,,79452194,79452954,1,0.9349209666252136,no_pfam_domain,2:79452194-79452954,108,760,0.4263157894736842,93.0,1.1612903225806452,0.4276315789473684
2:79470947-79472292,Architeuthis|pred2_00343.1,57.0,79,1.95e-19,93.2,BTB/POZ domain-containing protein KCTD9,2.7899999999999998e-46,79470947,79472292,2,0.824184000492096,gene_candidate,2:79470947-79472292,192,1345,0.4282527881040892,83.0,2.3132530120481927,0.37769516728624536
